,dog,height,weight,life_expectancy,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,color,marking,breed_info,health,grooming,excercise,training,nutrition
0,Affenpinscher,9-11.5 inches,7-10 pounds,12-15 years,3,3,3,3,3,1,Wiry,Short-Medium,5,3,3,4,3,3,3,3,148 of 202,Belge-Black-Black & Silver-Black & Tan-Red,Black Mask,"Loyal, curious, and famously amusing, this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it's the Affenpinscher's apparent seriousness of purpose that makes his antics all the more amusing.
The Affen's apish look has been described many ways. They've been called 'monkey dogs' and 'ape terriers.' The French say diablotin moustachu ('mustached little devil'), and Star Wars fans argue whether they look more like Wookies or Ewoks.     Standing less than a foot tall, these sturdy terrier-like dogs approach life with great confidence. 'This isn't a breed you train, 'a professional dog handler tells us, 'He's like a human. You befriend him.' The dense, harsh coat is described as 'neat but shaggy' and comes in several colors; the gait is light and confident. They can be willful and domineering, but mostly Affens are loyal, affectionate, and always entertaining. Affen people say they love being owned by their little monkey dogs.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Affenpinschers are generally healthy dogs, and responsible breeders will screen their stock for health conditions such as luxating patella, heart anomalies, vision problems, and hip dysplasia. Like other shorter-faced breeds, Affens can experience breathing problems during hot weather if they are permitted to overheat and then have difficulty panting in order to lower their body temperature, as dogs don't sweat to keep cool.","The Affenpinscher's medium-length, wiry coat should be groomed twice a week, first with a brush and then with a metal comb. Any mats should be pulled apart with the fingers. The hair on the head is usually brushed forward over the face, and then an inverted V-shape is cut to expose the eyes. Similarly, the hair on the bridge of the nose is trimmed into a fan shape to keep the eyes clear. The Affen's coat does not grow quickly, so a trimming a pet Affen every few months should suffice. The breed's national parent club, the Affenpinscher Club of America, provides a detailed grooming guide. Affens should also have their nails trimmed and their teeth brushed regularly.","One of the attractions of the toy breeds is that their small size makes them ideal apartment dogs. While Affenpinschers can be perfectly happy living in close quarters, the breed is classified as 'moderately active,' and as such, they do need exercise. Indoor play, both with his owner and just between himself and a toy, can be enough to make up a large chunk of an Affen's exercise regimen. Even so, a brisk walk once or twice a day is required. In addition to providing exercise, these walks give the Affen a chance to socialize both with people and other dogs.","Affenpinschers are courageous, bold, and often feisty. Basic obedience training is recommended. The breed has an undeserved reputation as being difficult to train because Affenpinschers are independent minded and can be stubborn. The key is that they are very intelligent and generally eager to please the humans they have bonded with. Keep in mind that they are easily bored and tend to lose interest during long training sessions. Shorter, more frequent sessions with a trainer who has experience working with toy breeds are usually quite successful."
1,Afghan-Hound,25-27 inches,50-60 pounds,12-18 years,3,3,3,1,4,1,Silky,Long,3,3,3,3,1,4,3,3,113 of 202,Black-Black & Silver-Black & Tan-Blue-Cream-Red-Silver-White-Blue & Cream,Black Mask-Brindle-Brindle Black Mask-Brindle Domino-Domino,"Among the most eye-catching of all dog breeds, the Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, the Afghan can exhibit an endearing streak of silliness and a profound loyalty.
Since ancient times, Afghan Hounds have been famous for their elegant beauty. But the thick, silky, flowing coat that is the breed's crowning glory isn't just for show ' it served as protection from the harsh climate in mountainous regions where Afghans originally earned their keep. Beneath the Afghan's glamorous exterior is a powerful, agile hound ' standing as high as 27 inches at the shoulder ' built for a long day's hunt. Their huge paw-pads acted as shock absorbers on their homeland's punishing terrain.  The Afghan Hound is a special breed for special people. A breed expert writes, 'It's not the breed for all would-be dog owners, but where the dog and owner combination is right, no animal can equal the Afghan Hound as a pet.'","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Sighthounds such as Afghans have naturally low stores of body fat, so they tend to be sensitive to anesthesia; breed experts recommend seeking out a sighthound-savvy veterinarian for surgical procedures. Like other deep-chested types of dogs, Afghan Hounds can experience bloat, a sudden and life-threatening swelling of the abdomen, and owners should educate themselves about its symptoms and what to do should bloat occur.","Afghan puppies have short, fuzzy coats (including adorable facial hair called 'monkey whiskers') that require little maintenance. They don't stay that way for long, however. As is to be expected, the long, silky coat of an adolescent or adult Afghan requires regular grooming. Several hours per week of brushing are needed to keep the hair free of tangles and mats, as well as to remove any debris. Keeping the hair clean and mat-free is the key to keeping the Afghan's glorious coat looking its best. Regular bathing, with shampoo and conditioner, is also required. Like all breeds, Afghans should have their nails trimmed and their teeth brushed regularly.","Because Afghans are sighthounds, bred to hunt and chase prey by sight, they will have a strong instinct to run off in pursuit of perceived prey; walking off leash is not advisable. Short walks do not provide enough exercise for this athletic breed, and some owners take their leashed Afghans on long runs once they reach maturity. Ideally, an Afghan should have the opportunity to run full out several times a week in a large, enclosed area. Afghans are tall, lean, and strong, which makes them excellent jumpers, so their exercise area must have a high, secure fence.","Afghans are independent, dignified, and aloof in general, but they are affectionate and extremely loyal to humans they have bonded with. This loyalty can make it difficult for an adult Afghan to adjust to a new home. On the other hand, it can make them fairly easy to housetrain, because they want to please their owners. Unless obedience or agility competition is a goal, teaching basic commands such as come, sit, and stay is generally sufficient. Afghan Hound owners are often quick to point out that no amount of training will overcome the breed's hunting instinct to break off on a high-speed chase."
2,Airedale-Terrier,23 inches,50-70 pounds,11-14 years,3,3,3,1,3,1,Wiry,Short-Medium,3,3,5,3,3,3,3,3,60 of 202,Black & Tan-Grizzle & Tan,,"His size, strength, and unflagging spirit have earned the Airedale Terrier the nickname 'The King of Terriers.' The Airedale stands among the world's most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.
The Airedale Terrier is the largest of all terrier breeds. Males stand about 23 inches at the shoulder, females a little less. The dense, wiry coat is tan with black markings. Long, muscular legs give Airedales a regal lift in their bearing, and the long head'¿with its sporty beard and mustache, dark eyes, and neatly folded ears'¿conveys a keen intelligence. Airedales are the very picture of an alert and willing terrier'¿only bigger. And, like his smaller cousins in the terrier family, he can be bold, determined, and stubborn. Airedales are docile and patient with kids but won't back down when protecting hearth and home. Thanks to their famous do-it-all attitude, Airedales excel in all kinds of sports and family activities.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Airedales are generally healthy dogs, and responsible breeders will test for health concerns such as hip dysplasia, a malformation of the hip joint. An Airedale's ears should be checked regularly to remove foreign matter and avoid a buildup of wax, and his teeth should be brushed regularly.","The Airedale has a short, wiry coat that needs relatively little maintenance. Weekly brushing keeps the coat looking good and has the additional advantage of removing dead hair that would otherwise be shed around the house. (Some people with dog allergies have found that they can share a living space with a well-brushed Airedale without suffering any symptoms.) If the weekly session turns up any mats, they should be broken up with the fingers and then teased apart with a comb. Full grooming '¿ where the dog is bathed, brushed, and stripped or clipped '¿ should be done three or four times a year, either by the owner or a professional groomer.","Terriers are generally known for their high energy levels. Given that the Airedale is the largest of all terriers, that energy must be channeled into safe outlets. Fortunately, Airedales love to play with other family members. A daily play session of moderate length, in addition to walks (or backyard time) several times a day, should be enough to satisfy the Airedale's exercise requirements. Airedales play well with children, but interactions with toddlers and smaller children should be closely supervised. Airedales are rangy but strong; that strength, combined with a boisterous personality, can lead to mishaps.","Because of the Airedale's size (he is a medium-sized dog, but the largest of the terrier breeds), strength, and rambunctiousness, obedience training is highly recommended. At a minimum, an Airedale should learn basic obedience commands such as come, sit, and stay. The breed's intelligence and the fact that they bond closely with family members can make training easy. Owners and trainers should keep in mind that an intelligent dog is an easily bored dog, so varied training sessions will be more successful than repetitive ones. Also, an easily bored dog who is often left alone for long periods of time will tend to develop undesirable behaviors. It often helps to provide the dog with challenging toys that will keep him happily occupied."
3,Akita,26-28 inches (male),100-130 pounds (male),10-14 years,3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3,47 of 202,"Black-Brown-Brown Brindle-Fawn-Fawn Brindle-Red-Red Brindle-Silver-White-Black Brindle-Silver Brindle-Brown, Black Overlay-Red, Black Overlay-Fawn, Black Overlay-Silver, Black Overlay-Black, Brown Undercoat-Black, Red Undercoat-Black, Silver Undercoat-Black, Fawn Undercoat-White, Red Shading","White Markings-Black Mask-White Mask-White Mask, White Markings-Black Mask, White Markings-Blk & White Mask White Mkngs-Pinto, Black & White Mask-Pinto, Black Mask-Pinto","Akita is muscular, double-coated dogs of ancient Japanese lineage famous for her dignity, courage, and loyalty. In her native land, she's venerated as family protectors and symbols of good health, happiness, and long life.
Akitas are burly, heavy-boned spitz-type dogs of imposing stature. Standing 24 to 28 inches at the shoulder, Akitas have a dense coat that comes in several colors, including white. The head is broad and massive, and is balanced in the rear by a full, curled-over tail. The erect ears and dark, shining eyes contribute to an expression of alertness, a hallmark of the breed.     Akitas are quiet, fastidious dogs. Wary of strangers and often intolerant of other animals, Akitas will gladly share their silly, affectionate side with family and friends. They thrive on human companionship. The large, independent-thinking Akita is hardwired for protecting those they love. They must be well socialized from birth with people and other dogs.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Like many dogs, Akitas can experience bloat, a sudden, life-threatening condition where the stomach can twist without veterinary intervention. Bloat is a medical emergency, and Akita owners should learn to recognize the signs. Prospective owners should be sure to work with a reputable breeder who tests his or her breeding stock for health concerns such as eye and thyroid disorders, and hip dysplasia, a malformation of the hip joints that can cause pain and arthritis.","Akitas tend to be clean and have little 'doggy odor.' They don't require extensive grooming, but their thick, luxurious double coat should be brushed at least once a week to look its best. Although Akitas shed only minimally most of the time, expect their dense undercoat to 'blow' twice a year, where it will shed so profusely that it comes out in clumps all over your house. During this time it helps to brush the dog more frequently to get rid of the dead coat. The nails should also be trimmed regularly, as overly long nails can cause pain and problems for the dog. Remember also to brush the dog's teeth often to ensure dental health.","The Akita is generally not a highly active breed but does require moderate exercise. A jog or brisk walk around the block at least once a day can meet the needs of most individuals of the breed. Akitas also enjoy playing energetically. Although they are large dogs '¿ males often weigh more than 100 pounds '¿ with sufficient daily exercise Akitas can do well in a relatively small home. They are hardy dogs bred to withstand the harsh outdoor conditions of northern Japan, but they were bred as housedogs and guardians as well as hunters, and adapt very well to life in the home.","Akitas are very intelligent and loyal but also have an independent, headstrong nature. As large and very powerful dogs, it is vital that they are trained consistently,  beginning in puppyhood. They are instinctive guardians, so it's especially important that Akitas have early and extensive socialization when young. They must learn to accept a wide variety of strangers and not perceive them as a threat. Because of their independence and strong prey drive, they should never be off lead in an unsecured area. Akitas tend to be aggressive toward other dogs, particularly of the same sex, and extreme caution should be used in canine interactions."
4,Alaskan-Klee-Kai,13 inches and under (Toy),,13-16 years,3,3,5,3,3,1,,Medium,1,3,3,3,3,3,3,3,,Black & White-Gray & White-Red & White,,"The Alaskan Klee Kai is a small-sized companion dog that is alert, energetic, and curious, yet reserved with unfamiliar people and situations. They come in three different sizes.
The Alaskan Klee Kai is a small sized companion dog with a smooth, agile, and well-balanced gait, a body that is well proportioned in three size varieties: toy, miniature, and standard; with a level topline and a length slightly longer than height.  The wedge-shaped head, erect triangle shaped ears, well furred double coat in three symmetrical contrasting color varieties, and a loosely curled tail reflect its arctic heritage. 


Alaskan Klee Kia Club of America 
www.akkcoa.org ","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Alaskan Klee Kai (AKK) is a generally healthy breed.  Responsible breeders screen breeding stock for health conditions including patellar luxation, autoimmune thyroiditis, heart murmur, eye disorders, and Factor VII deficiency.  Prospective AKK owners are  encouraged to purchase from responsible/reputable breeders who are doing these  evaluations, and confirm the health screening of the sire and dam.  Responsible breeders use the many tools available, along with the knowledge of their dogs¿ pedigrees, to  selectively choose breeding dogs in order to reduce the likelihood of temperament,  structure and health concerns.    ","The Alaskan Klee Kai (AKK) is a double coated breed, with a short dense undercoat and a longer outer coat of guard hairs. This coat not only helps insulate them from the cold and heat, it also helps protect the skin from the sun. While the undercoat is shed (or blown) twice a year, some owners quip that it lasts for six months at a time. Weekly brushings and/or combing help keep the coat and skin in good condition, and help reduce the hair around the house.  AKK often need only a few baths a year as their coats tend to naturally repel dirt, and they do not have the ¿dog odor¿ that many breeds have. Blowing the dog with a strong cool blow-dryer is also a good way to remove loose hair and dirt. Avoid using any tools with blades. The nails should be trimmed regularly to prevent any foot problems.  Alaskan Klee Kai competing in conformation require a bit more selective grooming or bathing for the best presentation. The breed standard is specific: ""The Alaskan Klee Kai is shown in its natural state and the only trimming permissible is around the foot area to present a clean/neat appearance. Any trimming of the whiskers, or the fur on any other part of the dog, is to be severely penalized.""","The Alaskan Klee Kai (AKK) is an active dog with a medium-high energy level. Regular exercise and doing activities together, both physically and mentally, strengthens the bond between dog and owner, and helps to avoid potential destructive behavior. AKK enjoy doing performance sports or exploring life with their people in many activities such as camping, hiking, climbing, swimming, boating, kayaking, and even on paddle boards! For those who live in a more urban setting, or have a more sedate lifestyle, daily walks or a game of fetch can also provide great exercise. Alaskan Klee Kai are foremost loving companion dogs who form strong bonds with their family and are as happy playfully interacting with their owners exploring the outdoors as they are relaxing lovingly on the laps of their youthful or elderly owners. Like many dog breeds, Alaskan Klee Kai are curious, clever, fast and sneaky, and may have a high prey drive, so it is important to keep the dog on a leash or in a securely fenced yard (or secured area) at all times when outside of the home. AKK are not suitable for people who cannot spend time with their dogs","The Alaskan Klee Kai are a perceptive breed that enjoys being physically and mentally challenged. They love learning new things, and have an energetic eagerness to participate in a broad array of activities which make them well suited for multiple performance sports such as Agility, Racing, Obedience, Rally, Scent Work, Weight Pull, Dock Diving, and Carting. They are also used in therapy work, service work, diabetic and gluten detection, as well as emotional support dogs. AKK have a sensitive, reserved and cautious nature. A gentle hand, positive reinforcement, proper early socialization and training throughout their lives is very beneficial."
5,Alaskan-Malamute,25 inches (male),85 pounds (male),10-14 years,3,3,3,3,3,1,Double,Medium,3,3,4,3,5,4,3,3,58 of 202,Agouti & White-Black & White-Blue & White-Gray & White-Red & White-Sable & White-Seal & White-Silver & White-White,Black Mask-Gray Mask,"An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.
The Alaskan Malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds. Everything about Mals suggests their origin as an arctic sled dog: The heavy bone, deep chest, powerful shoulders, and dense, weatherproof coat all scream, 'I work hard for a living!' But their almond-shaped brown eyes have an affectionate sparkle, suggesting Mals enjoy snuggling with their humans when the workday is done. Mals are pack animals. And in your family 'pack,' the leader must be you. If a Mal doesn't respect you, he will wind up owning you instead of the other way around. Firm but loving training should begin in early puppyhood. That said, a well-behaved Mal is a joy to be with'¿playful, gentle, friendly, and great with kids.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","A responsible breeder will screen breeding stock for health conditions such as hip dysplasia (a malformation of the hip joint that is the most common skeletal condition in dogs), elbow dysplasia, thrombopathia, chondrodysplasia ('dwarfism'), hypothyroidism, inherited polyneuropathy, von Willebrand's disease, and day blindness. As with all breeds, an Alaskan Malamute's ears should be checked regularly to remove foreign matter and avoid a buildup of wax, and his teeth should be brushed regularly.","The thick, waterproof double coat of the Alaskan Malamute is beautifully adapted to harsh Arctic life, but it requires constant upkeep. A Malamute should be brushed every day with a pin brush and metal comb, all the while checking for mats, which can harbor fungus, and hot spots, which can become infected. Twice a year, during shedding season, an undercoat rake should be added to the regimen. Show Malamutes are often bathed weekly, but a pet Malamute can go six to eight weeks between baths.  Conditioner can be used, in moderation, if the coat feels dry. As with all breeds, the Malamute's nails should be trimmed regularly.","While the Malamute was not bred for racing, he was bred to work. A strong, athletic dog with tremendous endurance, designed to carry heavy loads, a Mal requires daily exercise. Romping in a well-fenced yard or other enclosed space will suffice, but Malamutes also enjoy hiking, running, and swimming with their owners. And should the owner have sufficient time and interest, Malamutes often take part in agility and obedience trials, weight-pulling competitions, backpacking (yes, you can buy a backpack for your dog), recreational or competitive sledding, and skijoring (pulling a person who is on skis).","Socialization and obedience training are necessary in order to prevent a Malamute from becoming pushy with children and other pets, or dominant over adults he or she doesn't respect. Malamutes are highly intelligent but also independent and willful, often to the point of stubbornness. While fairness and patience can yield a devoted, trustworthy companion, there are certain behaviors that may be impossible to train out of a Mal, such as digging, so any yard fencing must continue into the ground. And Malamutes are not especially suited to be guard dogs because they tend to be friendly with everyone they meet."
6,American-Bulldog,22-25 inches (males); 20-23 inches (females),75-100 pounds (males); 60-80 pounds (females),10-12 years,0,3,3,2,0,0,Smooth,Short,0,0,0,0,4,0,1,0,,White-White & Black-White & Brindle-White & Brown-White & Tan,Tan Markings-Brown Markings-Black Markings-Brindle Markings-Red Markings,"American Bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. Historically, they were bred to be a utility dog used for working the farm.
The American Bulldog is a descendant of the English Bulldog. It is believed that the bulldog was in America as early as the 17th century. They came to the United States in the 1800s, with immigrants who brought their working bulldogs with them. Small farmers and ranchers used this all-around working dog for many tasks including farm guardians, stock dogs, and catch dogs. The breed largely survived, particularly in the southern states, due to its ability to bring down and catch feral pigs.

The breed we know as the American Bulldog was originally known by many different names before the name American Bulldog became the standard. In different parts of the South he was known as the White English Southern Bulldog, but most commonly just ""bulldog."" The breed was not called a bulldog because of a certain look, but because they did real bulldog work.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The American Bulldog is considered a healthy breed. Owners should maintain a schedule of examinations and vaccinations as recommended by their veterinarian. Hip and joint problems are a concern for this breed, hip and elbow evaluations should also be done. Just like other breeds, the American Bulldog has the potential to develop genetic health problems. Breeders should pre-screen any potential breeding pairs for genetic diseases.","Grooming your American Bulldog can be a pretty easy task. This breed does not need to be bathed often, only occasional baths when they become dirty. Regular brushing will help keep their coat clean and shiny. Their nails should be trimmed every few weeks and ears should be cleaned once a month or as needed. Their teeth should be brushed regularly. Seasonal shedding is to be expected.","The American Bulldog is an athlete. For puppies, owners will need to practice non-impact exercises to decrease possible bone and joint damage. As adults, the American Bulldog will need a range of activities from jogs, hikes, tug-a-war games, to training exercises. The breed does not do well being left alone in a back yard. As this may lead to a variety of behavior problems related to pent-up energy. This breed requires frequent exercise and constant stimulation. Developing his athletic abilities will help this breed stay fit and happy.","Early socialization and puppy training classes are vital in channeling the American Bulldog's energy. Rules and routines should be put in place early and adhered to as dogs grow up. They require a firm but loving hand to establish and retain proper boundaries. The more exposure to good training practices, other dogs, and people, the more likely the success at being managed both inside and outside of their environment."
7,American-English-Coonhound,24-26 inches (male),45-65 pounds,11-12 years,3,3,5,2,1,1,Smooth,Short,3,3,3,3,3,4,4,3,175 of 202,Black-Black & Tan-Blue-Brown-Red-Red & White-White & Tan-Tri-Colored,Ticked,"These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.
Standing as high as 26 inches at the shoulder, American English Coonhounds are deep-chested, sweet-faced athletes beloved by sportsmen for their speed and endurance. Stretched tightly across the athletic frame is a medium-length coat of various patterns, some with ticking. The head is broad with a domed skull, with soft, low-hung ears and dark-brown eyes that glow with warmth and kindness.



 American English Coonhounds are mellow when off duty but tenacious and stubborn in pursuit of their ring-tailed prey. Their work drive and energy, the patience it takes to train them for things other than coon hunting, and their loud, ringing bark can make the breed a bad fit as house pets for novice owners. Some passionate fans of American English Coonhounds feel that without a sporting outlet for this breed's houndy virtues, you're simply wasting a good dog.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Still bred primarily as a hard-working dog, which must have an efficient physical condition, the American English Coonhound is generally a healthy breed. Responsible breeders will screen their stock for health conditions such as hip and elbow dysplasia as well as eye disorders such as progressive retinal atrophy and cataracts. His ears should be checked regularly to remove excess wax and debris. Like other large and deep-chested breeds, he can experience bloat, a sudden, life-threatening stomach condition. Owners should learn the signs of bloat and what to do should it occur.","Good nutrition influences the shine and texture of your American English Coonhound's coat from the inside, but he will still need regular grooming to be at his best. His short, hard, protective coat requires a minimum of care. Using a shedding tool or a grooming mitt with rubber nubs at least weekly will help to keep his shedding to a minimum. This also distributes skin oils down the hair shaft, giving his coat a natural shine. His nails should be trimmed once a month, and a bath every four to six weeks will keep the coat and skin clean and healthy, and reduce doggy odor. His ears should be checked weekly and gently cleaned of any excess wax or debris.","With his high energy level and innate desire to be part of a pack, whether human or canine, the American English is an ideal candidate as a companion for someone who is an active runner, biker, or hiker. He needs a lot of exercise to stay healthy and happy. The breed has a very strong prey drive, so should never be allowed off leash in an uncontrolled situation, as he will not be able to resist the instinct to follow an interesting scent he detects with his sensitive nose. He requires a fenced area where he can run freely. Chasing a ball in his backyard can be an excellent source of exercise.","Following through with proper early socialization of your American English Coonhound is paramount, or your puppy may become possessive over food or toys in your home. The key to a well-adjusted, mentally healthy dog is to have him experience positive interactions with many different kinds of people in a variety of places and situations. Like many hounds, English dogs have a split personality: tenacious, tireless, and stubborn on the trail, but at home these spirited hunters are sweetly amiable companions. Still, the breed's limitless prey drive and energy, the patience it takes to train them for anything other than coon hunting, and their tendency to bark in a loud, ringing voice make them most appropriate for experienced dog owners."
8,American-Eskimo-Dog,9-12 inches (toy),6-10 pounds (toy),13-15 years,5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3,122 of 202,White-White & Biscuit,,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.
The American Eskimo Dog comes in three sizes'¿standard, miniature, and toy'¿standing as tall as 19 inches at the shoulder or as short as 9 inches. Distinctive traits include a dense, sparkling white coat with a lion-like ruff around the chest and shoulders; a smiling face, with black nose, lips, and eye-rims that convey a keen, intelligent expression; and a plumed tail carried over the back. Some Eskies have markings with the delicious color name 'biscuit cream.' They move with a bold and agile gait.



 Eskies are social animals and can develop problem behaviors when neglected or undertrained'¿they insist on being part of family life. Among the most trainable of breeds, the clever, kid-friendly Eskie practically invented the phrase 'eager to please.'","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","A responsible breeder will test his or her breeding stock for health issues such as hip dysplasia and progressive retinal atrophy. As with all breeds, an Eskie's ears should be checked weekly to remove debris and avoid a buildup of wax, and the dog's teeth should be brushed regularly.","The American Eskimo Dog's fluffy, white double coat '¿ a short, dense undercoat below the longer outer coat '¿ is surprisingly easy to keep clean. However, Eskies shed almost constantly. A thorough brushing two or three times a week will remove dead hairs before they can be shed, as well as help to prevent matting. The oil on an Eskie's fur prevents dirt from adhering, so a good brushing is usually enough to remove it. It is OK to bathe  an Eskie occasionally, but doing so more than once every few months can make his skin dry and irritated. As with all breeds, the Eskie's nails should be trimmed regularly.","An active dog with lots of energy, the Eskie is also quick and curious, requiring lots of exercise and mental challenges. An Eskie who is left alone or who doesn't get enough exercise can quickly become destructive. A securely fenced yard and an assortment of toys will help provide good exercise and stimulation to keep an Eskie out of trouble. He shouldn't just be left out in the yard by himself all day, however. Despite his warm coat, the Eskie is an indoor dog, and he forms strong bonds with his people and is happiest interacting with them. Once they pass middle age, Eskies often become more sedate.","As with all breeds, early socialization and puppy training classes are recommended. Fortunately, the American Eskimo Dog is among the most trainable of all breeds. Back when traveling circuses, vaudeville troupes, and Wild West shows crisscrossed the map, Eskies were mainstays of trained-dog acts. They are highly intelligent and eager to please. They learn new commands quickly '¿ sometimes just by watching other dogs. An Eskie craves companionship and interaction with his owners and will tend to develop problem behaviors if left alone too often for long periods of time."
9,American-Foxhound,22-25 inches (male),65-70 pounds (male),11-13 years,3,5,5,3,1,1,Smooth,Short,3,3,3,3,3,4,5,3,186 of 202,Black Brown & White-Black White & Tan-Blue-Brown White & Tan-Red-Tan-White-White & Cream-White & Red-White Black & Tan,,"American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the rolling estates of old Virginia.
American Foxhounds are sleek, rangy hunters known for their speed, endurance, and work ethic. You can tell the American Foxhound apart from their British cousin the English Foxhound by length of leg'¿the American's legs are longer and more finely boned'¿and by the American's slightly arched loin (back end). American Foxhounds have large, soft eyes with an expression described as gentle and pleading.



 So far, so good. But Foxhounds come with special considerations. They need lots of exercise or they can get depressed and destructive. A Foxhound's single-minded prey drive must be managed. Their loud bawling is melodious to hound lovers but can be a nuisance to neighbors, and training and housebreaking these independent souls can be a steep challenge for novice owners.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The American Foxhound is typically a healthy breed, and a responsible breeder will test breeding stock for health conditions such as hip dysplasia and thrombocytopathy, which is a blood disorder. Long-eared breeds can develop ear infections, and a Foxhound's ears should be checked regularly to remove foreign matter and avoid a buildup of wax. Regular brushing will keep the hound's teeth healthy as well.","The American Foxhound's handsome coat is short and lies close to the body. The coat's hard texture protects the dog from the underbrush he courses through while on the hunt'¿and the coat also happens to be extremely easy to take care of. A short, once-a-week session with a bristle brush, a rubber grooming mitt or tool, or a hound glove is usually all that is needed. The Foxhound should not need to be bathed unless he gets into something particularly messy while outdoors. As with all breeds, the American Foxhound'¿s nails should be trimmed regularly.","Foxhounds were bred specifically to spend long hours chasing after prey. That's why an American Foxhound needs at least a solid hour or two of exercise every day'¿if he doesn't get it, he may become bored and destructive. If they get all the activity they need, they can fit in pretty much anywhere. While they are happiest living indoors with their human family, American Foxhounds make great companions on long walks or hikes. Because they were bred to hunt and chase animals and to follow a scent, they should only be allowed loose in areas that are securely fenced, and any walks must be taken on a leash. The breed also exercises mind and body by participating in canine sports such as tracking, rally, coursing ability tests, and other activities that can be enjoyed together by dog and owner.","American Foxhounds are easygoing and amiable. They also can be stubborn and independent, however, which can make training an exercise in patience. Obedience classes are recommended, and as scenthounds, it may never be safe to have them off-leash, because their noses can lead them into trouble. Foxhounds raised in the home tend to be wonderfully mild-tempered, devoted, and easygoing companions, and they get along well with children. Even so, owners will need patience and persistence when training them, and hounds can develop unwanted behaviors if not given enough exercise."
