dog,height,weight,life,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,marking,temp,black_color,white_color,red_color,Coat Type_double,Coat Type_others,Coat Type_smooth,bmi
affenpinscher,0.14705882352941177,0.018421052631578946,0.6086956521739131,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.8020304568527918,1.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,0.050838551473486
afghan-hound,0.7647058823529411,0.2631578947368421,0.7391304347826086,0.5,0.5,0.5,0.0,0.75,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.75,0.5,0.5,0.5736040609137056,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.24941306449385445
airedale-terrier,0.6470588235294118,0.2894736842105263,0.5217391304347826,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.3096446700507614,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.32557958004839593
akita,0.803921568627451,0.5789473684210527,0.4782608695652174,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.25,0.5,1.0,0.5,0.5,0.75,0.25,0.5,0.25888324873096447,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5804242303344638
alaskan-klee-kai,0.38235294117647056,0.25268484977626254,0.6956521739130435,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.4264737406815777
alaskan-malamute,0.7254901960784313,0.42105263157894735,0.4782608695652174,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.5,0.3401015228426396,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.4477558348294434
american-bulldog,0.6666666666666666,0.4342105263157895,0.391304347826087,1.0,0.5,0.5,0.25,0.25,0.0,0.0,0.5,0.5,0.5,0.75,0.75,0.5,0.0,0.5,1.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,1.0,0.4976889873562779
american-english-coonhound,0.7254901960784313,0.2631578947368421,0.43478260869565216,0.5,0.5,1.0,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.9289340101522843,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.26247755834829445
american-eskimo-dog,0.4117647058823529,0.13157894736842105,0.6521739130434783,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.6142131979695431,0.0,0.75,0.0,1.0,0.0,1.0,0.0,0.0,0.19526877178160312
american-foxhound,0.6666666666666666,0.32894736842105265,0.4782608695652174,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.75,1.0,0.5,0.9847715736040609,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.36628595439092404
american-hairless-terrier,0.29411764705882354,0.04736842105263158,0.7391304347826086,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.6802030456852792,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.07719928186714542
